"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert_expiration <#2>","mon.agatha-budget.fr/185.212.47.46","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","mon.agatha-budget.fr/185.212.47.46","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","mon.agatha-budget.fr/185.212.47.46","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","mon.agatha-budget.fr/185.212.47.46","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","mon.agatha-budget.fr/185.212.47.46","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","mon.agatha-budget.fr/185.212.47.46","443","INFO","1697549812","",""
"HSTS","mon.agatha-budget.fr/185.212.47.46","443","LOW","not offered","",""
"HPKP","mon.agatha-budget.fr/185.212.47.46","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","mon.agatha-budget.fr/185.212.47.46","443","INFO","nginx","",""
"banner_application","mon.agatha-budget.fr/185.212.47.46","443","INFO","No application banner found","",""
"cookie_count","mon.agatha-budget.fr/185.212.47.46","443","INFO","0 at '/'","",""
"security_headers","mon.agatha-budget.fr/185.212.47.46","443","MEDIUM","--","",""
"banner_reverseproxy","mon.agatha-budget.fr/185.212.47.46","443","INFO","--","","CWE-200"
"heartbleed","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","mon.agatha-budget.fr/185.212.47.46","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","mon.agatha-budget.fr/185.212.47.46","443","OK","supported","","CWE-310"
"secure_client_renego","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","mon.agatha-budget.fr/185.212.47.46","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","mon.agatha-budget.fr/185.212.47.46","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","mon.agatha-budget.fr/185.212.47.46","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","mon.agatha-budget.fr/185.212.47.46","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_12","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","mon.agatha-budget.fr/185.212.47.46","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","mon.agatha-budget.fr/185.212.47.46","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","mon.agatha-budget.fr/185.212.47.46","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_win81","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"clientsimulation-ie_11_winphone81","mon.agatha-budget.fr/185.212.47.46","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
