"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","agatha-budget.fr/185.199.108.153","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFBDCCA+ygAwIBAgISBCZb7eQI8SzlHfYIF4I+DmiZMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA5MDIxNTQ2MDdaFw0yMzEyMDExNTQ2MDZaMBsxGTAXBgNVBAMTEGFnYXRoYS1idWRnZXQuZnIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQCrxxsM7cYB+Oqps88IF0+iy3w0xGYS5u/zmBd5yWXuZkwfmpJ9M+4H+i4VYve08x/VTy6xZ6hJQr/jzJq3MEbCaPUoqWRpb0xLZCTJ3O1Gn6Qfwu9vNtC8aSe44tYYcEAstPXuj/cNjG4Dkudd1j68u8lbKBCgWvY39eGeFSNybo5pAQmkjKTJ19sFAZBIS5AgjDh6CmB0eRgmMI5gCxe5JKCA3z8UANMJ5zRHNWN8VNKgneFX0csT0zwwJJeO6jQAn8xsDGr3VLxeYNxGMcIJ3tnD42MejxzFkJDo2oa+ffHDHxqGaZsL4LIMRwjIklkrZi/6oTihLxBl9pf9FoczAgMBAAGjggIpMIICJTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFGNOFYVWWqSUAsIWQqSll5o4AleXMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMDEGA1UdEQQqMCiCEGFnYXRoYS1idWRnZXQuZnKCFHd3dy5hZ2F0aGEtYnVkZ2V0LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHYAtz77JN+cTbp18jnFulj0bF38Qs96nzXEnh0JgSXttJkAAAGKVsmb8AAABAMARzBFAiBfvYuOzfDaom80+N1NcUCOwEyGO7N7gDBr+M1aUcuXtAIhALILRPVIW1s+olk8bXXl3JvQz06leXsBYIgVSqaIvJ0UAHcAejKMVNi3LbYg6jjgUh7phBZwMhOFTTvSK8E6V6NS61IAAAGKVsmcAgAABAMASDBGAiEAx0fdr5PeI0gw+0gpbO9XI8YW3HNKm7eWEZTAIqk1oKYCIQDL/tm7Tsk6zceR1jqVWbRpzvvfCpsKy/Wnm6tbkcvTZjANBgkqhkiG9w0BAQsFAAOCAQEAH5iZ6E8+F/grveMtoi5lbr6Qmm4u/udnqPEk5UhEinXkwdhzSS/5C1qwccfyGZtxG5RNduXZVcG6ZK7CPl3G4fmynGy9SD8f6uJv8LCFhdnyudIFq0XgWvPsepZOZuVseUv7UH7ddTIym0L3N+PN1wcbQM9jxcC6q0u8U5E1NnjwrmX+h8WR9hf5JXnQQdlkM3MW0qDYnw4ks18ZMbXIcyw2bZ6ZSytG5i9lrLI3SB7/DvqIKUoysQEHNXKrXXEHmhr3dF7kcsD+c50ppyxtT1CNHwSmCZSsky/3fHvd/Ff7kNhxnVGguTwz+CVW6OHbppRcCss5fx8gsbZT/7ew8g==\n-----END CERTIFICATE-----","",""
"cert_commonName","agatha-budget.fr/185.199.108.153","443","OK","agatha-budget.fr","",""
"cert_commonName_wo_SNI","agatha-budget.fr/185.199.108.153","443","INFO","*.github.io","",""
"cert_subjectAltName","agatha-budget.fr/185.199.108.153","443","INFO","agatha-budget.fr www.agatha-budget.fr","",""
"cert_trust","agatha-budget.fr/185.199.108.153","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","agatha-budget.fr/185.199.108.153","443","OK","passed.","",""
"cert_certificatePolicies_EV","agatha-budget.fr/185.199.108.153","443","INFO","no","",""
"cert_expirationStatus","agatha-budget.fr/185.199.108.153","443","OK","33 >= 30 days","",""
"cert_notBefore","agatha-budget.fr/185.199.108.153","443","INFO","2023-09-02 15:46","",""
"cert_notAfter","agatha-budget.fr/185.199.108.153","443","OK","2023-12-01 15:46","",""
"cert_extlifeSpan","agatha-budget.fr/185.199.108.153","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","agatha-budget.fr/185.199.108.153","443","INFO","not present","",""
"cert_crlDistributionPoints","agatha-budget.fr/185.199.108.153","443","INFO","--","",""
