"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","erica-delagnier.fr/185.199.108.153","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCDCCA/CgAwIBAgISBAntxkPYpxZWJw0MzwJY0xxBMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzA5MDIxNTMxMzdaFw0yMzEyMDExNTMxMzZaMB0xGzAZBgNVBAMTEmVyaWNhLWRlbGFnbmllci5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKvHGwztxgH46qmzzwgXT6LLfDTEZhLm7/OYF3nJZe5mTB+akn0z7gf6LhVi97TzH9VPLrFnqElCv+PMmrcwRsJo9SipZGlvTEtkJMnc7UafpB/C72820LxpJ7ji1hhwQCy09e6P9w2MbgOS513WPry7yVsoEKBa9jf14Z4VI3JujmkBCaSMpMnX2wUBkEhLkCCMOHoKYHR5GCYwjmALF7kkoIDfPxQA0wnnNEc1Y3xU0qCd4VfRyxPTPDAkl47qNACfzGwMavdUvF5g3EYxwgne2cPjYx6PHMWQkOjahr598cMfGoZpmwvgsgxHCMiSWStmL/qhOKEvEGX2l/0WhzMCAwEAAaOCAiswggInMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUY04VhVZapJQCwhZCpKWXmjgCV5cwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wNQYDVR0RBC4wLIISZXJpY2EtZGVsYWduaWVyLmZyghZ3d3cuZXJpY2EtZGVsYWduaWVyLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBAwYKKwYBBAHWeQIEAgSB9ASB8QDvAHUAejKMVNi3LbYg6jjgUh7phBZwMhOFTTvSK8E6V6NS61IAAAGKVrxUAwAABAMARjBEAiBriouRuxZtxZwe2RuFk0Ib2wRQ0enCnCYES5UlcppteQIgSoacA5jgkSlvzLSooVKVW+DQBqUZ0sjSkqfXSnspFQ4AdgDoPtDaPvUGNTLnVyi8iWvJA9PL0RFr7Otp4Xd9bQa9bgAAAYpWvFP4AAAEAwBHMEUCIQDz8U1atb0Z8cbDy7bQ833ak3X95OMLUPGyqdbtHyL+wwIgeb1V7vLazVVkVmWnW39AhnxWZB7Ar1tZpzC5KuJsr48wDQYJKoZIhvcNAQELBQADggEBAGSDYo6xZlXe6ZvV+58vZVSKjv7cyk4kIU13Ocu4sdkRFkdEpTX2t3WEolQM5zMf4BW/0nRv7sTR7YIkEem2mjmv7CF1m6PpuftPqGHPCiQ/8CUwyXjtvb23aCwCs7rPq30xPBq/6CztdgdCKd7CFN4lRMNnhYkzFxNMAEJGTF0VJrbNhKUQKeoBiHCrZikB5Qg9Rg7lwdzmhOENXbYYsyizmbc9WUNPcpPY07i5PfU2SjKefWErDDY0XKi3dkMYZR67ISl3KcuK8w5d/hAXfDJf3BSUQlxqSteWy3wn7hL/jbgamR+uQvGowAtTtQjfrai40pSj4l78azSKgoUJr1M=\n-----END CERTIFICATE-----","",""
"cert_commonName","erica-delagnier.fr/185.199.108.153","443","OK","erica-delagnier.fr","",""
"cert_commonName_wo_SNI","erica-delagnier.fr/185.199.108.153","443","INFO","*.github.io","",""
"cert_subjectAltName","erica-delagnier.fr/185.199.108.153","443","INFO","erica-delagnier.fr www.erica-delagnier.fr","",""
"cert_trust","erica-delagnier.fr/185.199.108.153","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","erica-delagnier.fr/185.199.108.153","443","OK","passed.","",""
"cert_certificatePolicies_EV","erica-delagnier.fr/185.199.108.153","443","INFO","no","",""
"cert_expirationStatus","erica-delagnier.fr/185.199.108.153","443","OK","37 >= 30 days","",""
"cert_notBefore","erica-delagnier.fr/185.199.108.153","443","INFO","2023-09-02 15:31","",""
"cert_notAfter","erica-delagnier.fr/185.199.108.153","443","OK","2023-12-01 15:31","",""
"cert_extlifeSpan","erica-delagnier.fr/185.199.108.153","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","erica-delagnier.fr/185.199.108.153","443","INFO","not present","",""
"cert_crlDistributionPoints","erica-delagnier.fr/185.199.108.153","443","INFO","--","",""
"cert_ocspURL","erica-delagnier.fr/185.199.108.153","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","erica-delagnier.fr/185.199.108.153","443","OK","offered","",""
"cert_ocspRevoked","erica-delagnier.fr/185.199.108.153","443","OK","not revoked","",""
"cert_mustStapleExtension","erica-delagnier.fr/185.199.108.153","443","INFO","--","",""
"DNS_CAArecord","erica-delagnier.fr/185.199.108.153","443","LOW","--","",""
"certificate_transparency","erica-delagnier.fr/185.199.108.153","443","OK","yes (certificate extension)","",""
"certs_countServer","erica-delagnier.fr/185.199.108.153","443","INFO","3","",""
"certs_list_ordering_problem","erica-delagnier.fr/185.199.108.153","443","INFO","no","",""
"cert_caIssuers","erica-delagnier.fr/185.199.108.153","443","INFO","R3 (Let's Encrypt from US)","",""
